INDEX,Document,Topic,Name,Top_n_words,Probability,Representative_document
25,"homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição ;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8040869431657915,False
26,ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,1.0,False
27,ninguém será submetido a tortura nem a tratamento desumano ou degradante;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.508202678124596,False
28,"é livre a manifestação do pensamento, sendo vedado o anonimato;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.09528200263463939,False
29,"é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.09581959162243729,False
30,"é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8070492078865938,False
31,"é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva;",9,9_militares_militar_armadas_forcas armadas,militares - militar - armadas - forcas armadas - forcas - reserva - justica militar - justica - oficiais - crimes militares,0.3510825943193765,False
32,"ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.21651602755463256,False
33,"é livre a expressão da atividade intelectual, artística, científica e de comunicação, independentemente de censura ou licença;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.10674623600038143,False
34,"são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.1356909933781511,False
35,"a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.15368714368225067,False
36,"é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.19248880571069638,False
37,"é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.14539328119635922,False
38,"é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,1.0,False
39,"é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.17583443392789322,False
40,"todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8949399628478707,False
41,"é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8897756142447161,False
42,"a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.5718080864132613,False
43,"as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.18276458546670615,False
44,ninguém poderá ser compelido a associar-se ou a permanecer associado;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,1.0,False
45,"as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente;",2,2_ministerio publico_ministerio_organizacao_publico,ministerio publico - ministerio - organizacao - publico - administrativa - defensoria publica - defensoria - reclamacoes - sobre organizacao - poder judiciario,0.274288311087209,False
46,é garantido o direito de propriedade;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.42055124547155687,False
47,a propriedade atenderá a sua função social;,5,5_agraria_propriedade_rural_reforma agraria,agraria - propriedade - rural - reforma agraria - reforma - urbano - imovel - rurais - fins reforma - urbana,0.30461636553408666,False
48,"a lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em dinheiro, ressalvados os casos previstos nesta Constituição ;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.4197729695749387,False
49,"no caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8044287125466465,False
50,"a pequena propriedade rural, assim definida em lei, desde que trabalhada pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento;",5,5_agraria_propriedade_rural_reforma agraria,agraria - propriedade - rural - reforma agraria - reforma - urbano - imovel - rurais - fins reforma - urbana,0.22103810429958182,False
51,"aos autores pertence o direito exclusivo de utilização, publicação ou reprodução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.13301678754143545,False
52,"a proteção às participações individuais em obras coletivas e à reprodução da imagem e voz humanas, inclusive nas atividades desportivas;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.43063418164612066,False
53,"o direito de fiscalização do aproveitamento econômico das obras que criarem ou de que participarem aos criadores, aos intérpretes e às respectivas representações sindicais e associativas;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.05347143843316393,False
54,"são assegurados, nos termos da lei:",56,56_lei_sobre lei_capacidade_dispora sobre,lei - sobre lei - capacidade - dispora sobre - dispora - lei lei - pessoa juridica - hipoteses - forma lei - juridica,1.0,False
55,"a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.061560798280857455,False
56,é garantido o direito de herança;,1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.12683610591027733,False
57,"a sucessão de bens de estrangeiros situados no País será regulada pela lei brasileira em benefício do cônjuge ou dos filhos brasileiros, sempre que não lhes seja mais favorável a lei pessoal do de cujus;",6,6_brasileira_federativa brasil_republica federativa_brasil,brasileira - federativa brasil - republica federativa - brasil - brasileiros - brasileiro - federativa - capital - empresa - pais,0.4856892091102346,False
58,"o Estado promoverá, na forma da lei, a defesa do consumidor;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.15700841243688257,False
59,"todos têm direito a receber dos órgãos públicos informações de seu interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da lei, sob pena de responsabilidade, ressalvadas aquelas cujo sigilo seja imprescindível à segurança da sociedade e do Estado;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.13799321182679528,False
60,o direito de petição aos poderes públicos em defesa de direitos ou contra ilegalidade ou abuso de poder;,1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,1.0,False
61,"a obtenção de certidões em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.15899562315960147,False
62,"são a todos assegurados, independentemente do pagamento de taxas:",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8948575604424424,False
63,a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a direito;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.1982359705645124,False
64,"a lei não prejudicará o direito adquirido, o ato jurídico perfeito e a coisa julgada;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.5481286990486618,False
65,não haverá juízo ou tribunal de exceção;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,1.0,False
66,a plenitude de defesa;,44,44_defesa_estado defesa_estado_defesa nacional,defesa - estado defesa - estado - defesa nacional - sitio - estado sitio - intervencao federal - decretar estado - defesa estado - decretar,0.5601841877522674,False
67,o sigilo das votações;,29,29_voto_secreto_candidato_voto secreto,voto - secreto - candidato - voto secreto - votos - eleitoral - votacao - palavras - mediante eleicao - palavras votos,0.5658274928590171,False
68,a soberania dos veredictos;,3,3_tribunal_juizes_superior_tribunal justica,tribunal - juizes - superior - tribunal justica - justica - tribunal superior - superior tribunal - tribunais - trabalho - indicado,0.18043942722897635,False
69,a competência para o julgamento dos crimes dolosos contra a vida;,27,27_preso_transitada_transitada julgado_julgado,preso - transitada - transitada julgado - julgado - sentenca - sentenca transitada - prisao - julgamento - condenado - julgados,1.0,False
70,"é reconhecida a instituição do júri, com a organização que lhe der a lei, assegurados:",2,2_ministerio publico_ministerio_organizacao_publico,ministerio publico - ministerio - organizacao - publico - administrativa - defensoria publica - defensoria - reclamacoes - sobre organizacao - poder judiciario,0.2601392244835174,False
71,"não há crime sem lei anterior que o defina, nem pena sem prévia cominação legal;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,1.0,False
72,"a lei penal não retroagirá, salvo para beneficiar o réu;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.3045070465578669,False
73,a lei punirá qualquer discriminação atentatória dos direitos e liberdades fundamentais;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.022749625018740338,False
74,"a prática do racismo constitui crime inafiançável e imprescritível, sujeito à pena de reclusão, nos termos da lei;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.023379794472638746,False
75,"a lei considerará crimes inafiançáveis e insuscetíveis de graça ou anistia a prática da tortura, o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os definidos como crimes hediondos, por eles respondendo os mandantes, os executores e os que, podendo evitá-los, se omitirem;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.03432986298665172,False
76,"constitui crime inafiançável e imprescritível a ação de grupos armados, civis ou militares, contra a ordem constitucional e o Estado democrático;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.022373870950273177,False
77,"nenhuma pena passará da pessoa do condenado, podendo a obrigação de reparar o dano e a decretação do perdimento de bens ser, nos termos da lei, estendidas aos sucessores e contra eles executadas, até o limite do valor do patrimônio transferido;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.19753592372758652,False
78,privação ou restrição da liberdade;,1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.18763814194178782,False
79,perda de bens;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.7729461935135058,False
80,multa;,20,20_anistia_desde_desde posse_resolucoes disponham,anistia - desde - desde posse - resolucoes disponham - relacionadas sao - perpetuo - resolucoes - omissoes relacionadas - sao consideradas - seguintes vedacoes,0.3782323746709519,False
81,prestação social alternativa;,41,41_sociais_contribuicoes_contribuicoes sociais_pessoal encargos,sociais - contribuicoes - contribuicoes sociais - pessoal encargos - encargos - sociais intervencao - dominio economico - encargos sociais - intervencao dominio - pessoal,1.0,False
82,suspensão ou interdição de direitos;,24,24_inconstitucionalidade_lei federal_face_constituicao,inconstitucionalidade - lei federal - face - constituicao - lei - valida lei - valida - julgar valida - lei ato - acao,0.05980292700853315,False
83,"a lei regulará a individualização da pena e adotará, entre outras, as seguintes:",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8959438983560865,False
84,"de morte, salvo em caso de guerra declarada, nos termos do art. 84, XIX;",49,49_guerra_paz_estrangeiras_celebrar paz,guerra - paz - estrangeiras - celebrar paz - estrangeiras transitem - permanecam temporariamente - transitem territorio - nacional nele - permanecam - transitem,1.0,False
85,de caráter perpétuo;,20,20_anistia_desde_desde posse_resolucoes disponham,anistia - desde - desde posse - resolucoes disponham - relacionadas sao - perpetuo - resolucoes - omissoes relacionadas - sao consideradas - seguintes vedacoes,0.3098685864461683,False
86,de trabalhos forçados;,23,23_trabalho_relacoes trabalho_emprego_trabalhador,trabalho - relacoes trabalho - emprego - trabalhador - relacoes - mercado trabalho - emprego condicoes - convencao - jornada - decorrentes relacao,0.242574137082813,False
87,de banimento;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.18942039331417238,False
88,cruéis;,20,20_anistia_desde_desde posse_resolucoes disponham,anistia - desde - desde posse - resolucoes disponham - relacionadas sao - perpetuo - resolucoes - omissoes relacionadas - sao consideradas - seguintes vedacoes,0.16040090930129852,False
89,não haverá penas:,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.33296918079493387,False
90,"a pena será cumprida em estabelecimentos distintos, de acordo com a natureza do delito, a idade e o sexo do apenado;",27,27_preso_transitada_transitada julgado_julgado,preso - transitada - transitada julgado - julgado - sentenca - sentenca transitada - prisao - julgamento - condenado - julgados,0.131325013988295,False
91,é assegurado aos presos o respeito à integridade física e moral;,27,27_preso_transitada_transitada julgado_julgado,preso - transitada - transitada julgado - julgado - sentenca - sentenca transitada - prisao - julgamento - condenado - julgados,0.3169671946689466,False
92,às presidiárias serão asseguradas condições para que possam permanecer com seus filhos durante o período de amamentação;,30,30_deficiencia_adolescente_atendimento_especializado,deficiencia - adolescente - atendimento - especializado - portadores deficiencia - protecao - menores - portadores - crianca adolescente - crianca,1.0,False
93,"nenhum brasileiro será extraditado, salvo o naturalizado, em caso de crime comum, praticado antes da naturalização, ou de comprovado envolvimento em tráfico ilícito de entorpecentes e drogas afins, na forma da lei;",6,6_brasileira_federativa brasil_republica federativa_brasil,brasileira - federativa brasil - republica federativa - brasil - brasileiros - brasileiro - federativa - capital - empresa - pais,0.2594728189919043,False
94,não será concedida extradição de estrangeiro por crime político ou de opinião;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8071244748450264,False
95,ninguém será processado nem sentenciado senão pela autoridade competente;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,1.0,True
96,ninguém será privado da liberdade ou de seus bens sem o devido processo legal;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.6518494357827573,False
97,"aos litigantes, em processo judicial ou administrativo, e aos acusados em geral são assegurados o contraditório e a ampla defesa, com os meios e recursos a ela inerentes;",27,27_preso_transitada_transitada julgado_julgado,preso - transitada - transitada julgado - julgado - sentenca - sentenca transitada - prisao - julgamento - condenado - julgados,0.07867018968324717,False
98,"são inadmissíveis, no processo, as provas obtidas por meios ilícitos;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.024950635094149954,False
99,ninguém será considerado culpado até o trânsito em julgado de sentença penal condenatória;,7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,1.0,True
100,"o civilmente identificado não será submetido a identificação criminal, salvo nas hipóteses previstas em lei;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,1.0,False
101,"será admitida ação privada nos crimes de ação pública, se esta não for intentada no prazo legal;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.5653105757606682,False
102,a lei só poderá restringir a publicidade dos atos processuais quando a defesa da intimidade ou o interesse social o exigirem;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.22366816159538494,False
103,"ninguém será preso senão em flagrante delito ou por ordem escrita e fundamentada de autoridade judiciária competente, salvo nos casos de transgressão militar ou crime propriamente militar, definidos em lei;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,1.0,True
104,a prisão de qualquer pessoa e o local onde se encontre serão comunicados imediatamente ao juiz competente e à família do preso ou à pessoa por ele indicada;,27,27_preso_transitada_transitada julgado_julgado,preso - transitada - transitada julgado - julgado - sentenca - sentenca transitada - prisao - julgamento - condenado - julgados,1.0,False
105,"o preso será informado de seus direitos, entre os quais o de permanecer calado, sendo-lhe assegurada a assistência da família e de advogado;",27,27_preso_transitada_transitada julgado_julgado,preso - transitada - transitada julgado - julgado - sentenca - sentenca transitada - prisao - julgamento - condenado - julgados,0.3241649081852535,False
106,o preso tem direito à identificação dos responsáveis por sua prisão ou por seu interrogatório policial;,27,27_preso_transitada_transitada julgado_julgado,preso - transitada - transitada julgado - julgado - sentenca - sentenca transitada - prisao - julgamento - condenado - julgados,0.36329191126688554,False
107,a prisão ilegal será imediatamente relaxada pela autoridade judiciária;,27,27_preso_transitada_transitada julgado_julgado,preso - transitada - transitada julgado - julgado - sentenca - sentenca transitada - prisao - julgamento - condenado - julgados,1.0,True
108,"ninguém será levado à prisão ou nela mantido quando a lei admitir a liberdade provisória, com ou sem fiança;",7,7_ninguem_ninguem sera_sera_nao,ninguem - ninguem sera - sera - nao - lei - crime - trafico - salvo - crimes - lei nao,0.288914714737802,False
109,"não haverá prisão civil por dívida, salvo a do responsável pelo inadimplemento voluntário e inescusável de obrigação alimentícia e a do depositário infiel;",28,28_divida_debitos_servico divida_obrigacoes,divida - debitos - servico divida - obrigacoes - divida publica - parcelas - precatorios - inscritos - resgate - limites endividamento,0.19092656199254374,False
110,"conceder-se-á habeas corpus sempre que alguém sofrer ou se achar ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder;",47,47_habeas_corpus_habeas corpus_habeas data,habeas - corpus - habeas corpus - habeas data - mandado - mandado seguranca - data - seguranca - seguranca habeas - coator,1.0,True
111,"conceder-se-á mandado de segurança para proteger direito líquido e certo, não amparado por habeas corpus ou habeas data, quando o responsável pela ilegalidade ou abuso de poder for autoridade pública ou agente de pessoa jurídica no exercício de atribuições do poder público;",47,47_habeas_corpus_habeas corpus_habeas data,habeas - corpus - habeas corpus - habeas data - mandado - mandado seguranca - data - seguranca - seguranca habeas - coator,1.0,False
112,partido político com representação no Congresso Nacional;,43,43_partidos_partidario_partidos politicos_fundo partidario,partidos - partidario - partidos politicos - fundo partidario - politico - politicos - fundo - partido - filiacao - partidaria,1.0,False
113,"organização sindical, entidade de classe ou associação legalmente constituída e em funcionamento há pelo menos um ano, em defesa dos interesses de seus membros ou associados;",14,14_sindical_sindicatos_uniao_internacional,sindical - sindicatos - uniao - internacional - organismo internacional - organismo - estrangeiro organismo - estado estrangeiro - acordos - causas,1.0,False
114,o mandado de segurança coletivo pode ser impetrado por:,44,44_defesa_estado defesa_estado_defesa nacional,defesa - estado defesa - estado - defesa nacional - sitio - estado sitio - intervencao federal - decretar estado - defesa estado - decretar,1.0,True
115,"conceder-se-á mandado de injunção sempre que a falta de norma regulamentadora torne inviável o exercício dos direitos e liberdades constitucionais e das prerrogativas inerentes à nacionalidade, à soberania e à cidadania;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.4177080882936334,False
116,"para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros ou bancos de dados de entidades governamentais ou de caráter público;",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,1.0,False
